id,title,author,num_pages,image_url,url,average_rating,owned
362430,This Business of Music: The Definitive Guide to the Music Industry,M. William Krasilovsky,526,http://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,http://www.goodreads.com/book/show/362430.This_Business_of_Music,3.81,0
13235689,How Music Works,David Byrne,345,http://d.gr-assets.com/books/1340792878m/13235689.jpg,http://www.goodreads.com/book/show/13235689-how-music-works,3.95,0
25525309,Rails meets React.js,Marcin Grzywaczewski,197,http://d.gr-assets.com/books/1431420862m/25525309.jpg,http://www.goodreads.com/book/show/25525309-rails-meets-react-js,5.00,0
416318,The Ego and Its Own,Max Stirner,432,http://d.gr-assets.com/books/1294696844m/416318.jpg,http://www.goodreads.com/book/show/416318.The_Ego_and_Its_Own,4.05,0
23217084,"People Over Profit: Break the System, Live with Purpose, Be More Successful",Dale Partridge,256,http://d.gr-assets.com/books/1422811394m/23217084.jpg,http://www.goodreads.com/book/show/23217084-people-over-profit,4.07,0
10660230,Super Mario: How Nintendo Conquered America,Jeff   Ryan,292,http://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,http://www.goodreads.com/book/show/10660230-super-mario,3.72,0
18216917,Swarmwise,Rick Falkvinge,281,http://d.gr-assets.com/books/1374299968m/18216917.jpg,http://www.goodreads.com/book/show/18216917-swarmwise,4.17,0
25224275,The Design of Everyday Things,Donald A. Norman,,http://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,http://www.goodreads.com/book/show/25224275-the-design-of-everyday-things,4.15,0
22529127,Team of Teams: The Power of Small Groups in a Fragmented World,Stanley McChrystal,304,http://d.gr-assets.com/books/1435278580m/22529127.jpg,http://www.goodreads.com/book/show/22529127-team-of-teams,4.20,0
6667514,The Checklist Manifesto: How to Get Things Right,Atul Gawande,208,http://d.gr-assets.com/books/1312061594m/6667514.jpg,http://www.goodreads.com/book/show/6667514-the-checklist-manifesto,3.99,0
25407362,"Reframe: Shift the Way You Think, Work, and Innovate",Mona Patel,181,http://d.gr-assets.com/books/1429948077m/25407362.jpg,http://www.goodreads.com/book/show/25407362-reframe,4.45,0
23705512,You're Never Weird on the Internet,Felicia Day,272,http://d.gr-assets.com/books/1440565049m/23705512.jpg,http://www.goodreads.com/book/show/23705512-you-re-never-weird-on-the-internet,4.26,0
17382980,Асамтой,Etgar Keret,156,http://d.gr-assets.com/books/1361190458m/17382980.jpg,http://www.goodreads.com/book/show/17382980,4.01,1
13658,"The Other Wind (Earthsea Cycle, #6)",Ursula K. Le Guin,211,http://d.gr-assets.com/books/1309285821m/13658.jpg,http://www.goodreads.com/book/show/13658.The_Other_Wind,4.01,0
13659,"Tales from Earthsea (Earthsea Cycle, #5)",Ursula K. Le Guin,280,http://d.gr-assets.com/books/1309202073m/13659.jpg,http://www.goodreads.com/book/show/13659.Tales_from_Earthsea,3.97,0
13661,"Tehanu (Earthsea Cycle, #4)",Ursula K. Le Guin,281,http://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,http://www.goodreads.com/book/show/13661.Tehanu,3.84,1
12691864,"Космосът да ти е на помощ, Александър",Иван Мариновски,312,http://d.gr-assets.com/books/1316683162m/12691864.jpg,http://www.goodreads.com/book/show/12691864,4.45,0
17209001,Деветата порта,Arturo Pérez-Reverte,431,http://d.gr-assets.com/books/1357339765m/17209001.jpg,http://www.goodreads.com/book/show/17209001,3.81,0
23398715,"How Music Got Free: The End of an Industry, the Turn of the Century, and the Patient Zero of Piracy",Stephen Witt,304,http://d.gr-assets.com/books/1414348373m/23398715.jpg,http://www.goodreads.com/book/show/23398715-how-music-got-free,4.18,0
17336787,Planescape: Torment,Chris Avellone,1218,http://d.gr-assets.com/books/1360145856m/17336787.jpg,http://www.goodreads.com/book/show/17336787-planescape,3.97,0
17910048,The Goblin Emperor,Katherine Addison,446,http://d.gr-assets.com/books/1373039517m/17910048.jpg,http://www.goodreads.com/book/show/17910048-the-goblin-emperor,4.07,0
26063183,За трудностите в живота,Петър Дънов,223,http://d.gr-assets.com/books/1439052038m/26063183.jpg,http://www.goodreads.com/book/show/26063183,0.0,1
17236175,Just Enough Research,Erika Hall,154,http://d.gr-assets.com/books/1379351795m/17236175.jpg,http://www.goodreads.com/book/show/17236175-just-enough-research,4.01,1
13608106,On Web Typography,Jason Santa Maria,142,http://d.gr-assets.com/books/1358192116m/13608106.jpg,http://www.goodreads.com/book/show/13608106-on-web-typography,4.23,0
18302455,The Circle,Dave Eggers,508,http://d.gr-assets.com/books/1376419833m/18302455.jpg,http://www.goodreads.com/book/show/18302455-the-circle,3.42,0
7061309,Fragile Things,Neil Gaiman,363,http://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,http://www.goodreads.com/book/show/7061309-fragile-things,4.01,1
168663,Galápagos,Kurt Vonnegut,237,http://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,http://www.goodreads.com/book/show/168663.Gal_pagos,3.86,1
3228917,Outliers: The Story of Success,Malcolm Gladwell,309,http://d.gr-assets.com/books/1344266315m/3228917.jpg,http://www.goodreads.com/book/show/3228917-outliers,4.07,0
7155145,Linchpin: Are You Indispensable?,Seth Godin,244,http://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,http://www.goodreads.com/book/show/7155145-linchpin,3.87,1
